year,tier,num_countries,percent
2001,Tier 1    ,11,0.139240506329114
2001,Tier 2    ,47,0.594936708860759
2001,Tier 3,21,0.265822784810127
2002,Tier 1    ,17,0.195402298850575
2002,Tier 2    ,51,0.586206896551724
2002,Tier 3,19,0.218390804597701
2003,Tier 1    ,25,0.219298245614035
2003,Tier 2    ,75,0.657894736842105
2003,Tier 3,14,0.12280701754386
2004,Tier 1    ,24,0.183206106870229
2004,Tier 2    ,54,0.412213740458015
2004,Watchlist    ,43,0.32824427480916
2004,Tier 3,10,0.0763358778625954
2005,Tier 1    ,23,0.163120567375887
2005,Tier 2    ,77,0.546099290780142
2005,Watchlist    ,27,0.191489361702128
2005,Tier 3,14,0.099290780141844
2006,Tier 1    ,25,0.168918918918919
2006,Tier 2    ,79,0.533783783783784
2006,Watchlist    ,32,0.216216216216216
2006,Tier 3,12,0.0810810810810811
2007,Tier 1    ,27,0.181208053691275
2007,Tier 2    ,74,0.496644295302013
2007,Watchlist    ,32,0.214765100671141
2007,Tier 3,16,0.10738255033557
2008,Tier 1    ,28,0.185430463576159
2008,Tier 2    ,69,0.456953642384106
2008,Watchlist    ,40,0.264900662251656
2008,Tier 3,14,0.0927152317880795
2009,Tier 1    ,27,0.158823529411765
2009,Tier 2    ,75,0.441176470588235
2009,Watchlist    ,51,0.3
2009,Tier 3,17,0.1
2010,Tier 1    ,29,0.168604651162791
2010,Tier 2    ,72,0.418604651162791
2010,Watchlist    ,58,0.337209302325581
2010,Tier 3,13,0.0755813953488372
2011,Tier 1    ,30,0.169491525423729
2011,Tier 2    ,84,0.474576271186441
2011,Watchlist    ,40,0.225988700564972
2011,Tier 3,23,0.129943502824859
2012,Tier 1    ,32,0.175824175824176
2012,Tier 2    ,92,0.505494505494505
2012,Watchlist    ,41,0.225274725274725
2012,Tier 3,17,0.0934065934065934
2013,Tier 1    ,29,0.159340659340659
2013,Tier 2    ,89,0.489010989010989
2013,Watchlist    ,43,0.236263736263736
2013,Tier 3,21,0.115384615384615
2014,Tier 1    ,30,0.164835164835165
2014,Tier 2    ,86,0.472527472527473
2014,Watchlist    ,43,0.236263736263736
2014,Tier 3,23,0.126373626373626
2015,Tier 1    ,30,0.161290322580645
2015,Tier 2    ,89,0.478494623655914
2015,Watchlist    ,44,0.236559139784946
2015,Tier 3,23,0.123655913978495
